Reference;LeftContext;Keyword;RightContext
01 - Le Rideau cramoisi;était demeuré fidèle. Aussi, quand les;Bourbons;furent revenus, la seconde fois, le vicomte fut -il armé
01 - Le Rideau cramoisi;, le vicomte fut -il armé chevalier de;Saint-Louis;de la propre main de Charles X (alors MONSIEUR).
01 - Le Rideau cramoisi;chevalier de Saint-Louis de la propre main de;Charles;X (alors MONSIEUR). Pendant tout le temps de la
01 - Le Rideau cramoisi;la propre main de Charles X (alors;MONSIEUR;). Pendant tout le temps de la Restauration, le beau
01 - Le Rideau cramoisi;temps de la Restauration, le beau de;Brassard;ne montait pas une seule fois la garde aux Tuileries, que
01 - Le Rideau cramoisi;garde aux Tuileries, que la duchesse d';Angoulême;ne lui adressât, en passant, quelques mots gracieux. Elle
01 - Le Rideau cramoisi;, pour une observation de service ?...;C';était assez que de lui sauver le conseil de guerre. Ce
01 - Le Rideau cramoisi;insouciant de la discipline, le vicomte de;Brassard;l'avait porté partout. Excepté en campagne, où l'officier
01 - Le Rideau cramoisi;que l'ordonnance s'y oppose. »;Aussi;, la compagnie qu'il commandait effaçait -elle, par la beauté
01 - Le Rideau cramoisi;personnalité du soldat, toujours prête, en;France;, à la fatuité et à la coquetterie, ces deux provocations
01 - Le Rideau cramoisi;position tout exceptionnelle du, capitaine vicomte de;Brassard;. Et comme il n'y avait pas alors, tous les
01 - Le Rideau cramoisi;, tous les matins, comme sous l';Empire;, la ressource de l'héroïsme en action qui fait tout pardonner
01 - Le Rideau cramoisi;menaçait chaque jour davantage. Blessé grièvement aux;Trois;jours, il avait dédaigné de prendre du service sous la nouvelle
01 - Le Rideau cramoisi;du service sous la nouvelle dynastie des d';Orléans;qu'il méprisait. Quand la révolution de Juillet les fit maîtres
01 - Le Rideau cramoisi;qu'il méprisait. Quand la révolution de;Juillet;les fit maîtres d'un pays qu'ils n'ont pas su
01 - Le Rideau cramoisi;#NOME?;Berry;. -- Mais au premier roulement de tambour, il ne s'
01 - Le Rideau cramoisi;de ses grenadiers sur la place de la;Bastille;, chargé qu'il était de balayer dans toute sa longueur le
01 - Le Rideau cramoisi;balayer dans toute sa longueur le boulevard.;Paris;, où les barricades n'étaient pas dressées encore, avait un
01 - Le Rideau cramoisi;, cracher la mort... Le capitaine de;Brassard;rangea ses soldats sur deux lignes, le long et le plus
01 - Le Rideau cramoisi;de pistolets et de carabines, depuis la;Bastille;jusqu'à la rue de Richelieu, il n'avait pas été
01 - Le Rideau cramoisi;depuis la Bastille jusqu'à la rue de;Richelieu;, il n'avait pas été atteint, malgré la largeur d'
01 - Le Rideau cramoisi;peu trop fier, car le capitaine de;Brassard;poitrinait au feu, comme une belle femme, au bal,
01 - Le Rideau cramoisi;gorge en valeur, quand, arrivé devant;Frascati;, à l'angle de la rue de Richelieu, et au
01 - Le Rideau cramoisi;, à l'angle de la rue de;Richelieu;, et au moment où il commandait à sa troupe de se
01 - Le Rideau cramoisi;la barricade et d'aller jusqu'à la;Madeleine;, à la tête de ses hommes enthousiasmés. Là, deux
01 - Le Rideau cramoisi;, deux femmes en calèche, qui fuyaient;Paris;insurgé, voyant un officier de la Garde blessé, couvert de
01 - Le Rideau cramoisi;cette époque -là, l'église de la;Madeleine;à laquelle on travaillait encore, mirent leur voiture à sa disposition
01 - Le Rideau cramoisi;et il se fit mener par elles au;Gros-Caillou;, où se trouvait alors le maréchal de Raguse, à qui
01 - Le Rideau cramoisi;, où se trouvait alors le maréchal de;Raguse;, à qui il dit militairement : « Maréchal, j'en
01 - Le Rideau cramoisi;, à qui il dit militairement : «;Maréchal;", j'en ai peut-être pour deux heures ; mais pendant ces"
01 - Le Rideau cramoisi;mettez -moi partout où vous voudrez ! »;Seulement;il se trompait... Il en avait pour plus de deux heures
01 - Le Rideau cramoisi;mort certaine qu'en buvant du vin de;Bordeaux;. Et en en buvant, comme il en buvait ! car
01 - Le Rideau cramoisi;tout le reste... il buvait comme un;Polonais;. Il s'était fait faire un splendide verre en cristal de
01 - Le Rideau cramoisi;fait faire un splendide verre en cristal de;Bohême;, qui jaugeait, Dieu me damne ! une bouteille de bordeaux
01 - Le Rideau cramoisi;. Il l'était à la façon de;Bassompierre;, et il portait le vin comme lui. Je l'ai
01 - Le Rideau cramoisi;vu sabler douze coups de son verre de;Bohême;, et il n'y paraissait même pas ! Je l'ai
01 - Le Rideau cramoisi;voulez -vous ? Si le capitaine vicomte de;Brassard;n'avait pas été tout ce que je viens d'avoir l'
01 - Le Rideau cramoisi;hommes de nos jours. Le vicomte de;Brassard;, qui aurait pu entrer dans l'armure, de François Ier
01 - Le Rideau cramoisi;aurait pu entrer dans l'armure, de;François;Ier et s'y mouvoir avec autant d'aisance que dans son
01 - Le Rideau cramoisi;! Beau de la beauté de l'empereur;Nicolas;, qu'il rappelait par le torse, mais moins idéal de
01 - Le Rideau cramoisi;vaste et plus fier, le vicomte de;Brassard;cachait presque, tant ils étaient enfoncés sous l'arcade sourcilière,
01 - Le Rideau cramoisi;, et nous causâmes. Le capitaine de;Brassard;parlait lentement, d'une voix vibrante qu'on sentait capable de
01 - Le Rideau cramoisi;de remplir un Champ-de-Mars de son commandement.;Elevé;dès son enfance, comme je vous l'ai dit, en
01 - Le Rideau cramoisi;comme je vous l'ai dit, en;Angleterre;", il pensait peut-être en anglais ; mais cette lenteur, sans"
01 - Le Rideau cramoisi;appelle le propos vif. Le capitaine de;Brassard;allait toujours trop loin, disait la comtesse de F...,
01 - Le Rideau cramoisi;toujours trop loin, disait la comtesse de;F;..., cette jolie veuve, qui ne porte plus que trois
01 - Le Rideau cramoisi;qu'on se passe tout, au faubourg;Saint-Germain;! Un des avantages de la causerie en voiture, c'est
01 - Le Rideau cramoisi;causeur animé et intéressant... Le vicomte de;Brassard;échangea d'abord avec moi quelques idées que les accidents de la
01 - Le Rideau cramoisi;je les revois dans mes songeries : «;Qu';y avait -il donc derrière ces rideaux ? » Eh bien !
01 - Le Rideau cramoisi;(car la vanité se fourre partout en;France;, même sur l'impériale des voitures) pour montrer leur adresse
01 - Le Rideau cramoisi;, -- mais placé très haut... --;C';est singulier ! -- fit le comte de Brassard, comme s'
01 - Le Rideau cramoisi;est singulier ! -- fit le comte de;Brassard;, comme s'il se parlait à lui -même, on dirait
01 - Le Rideau cramoisi;dans la voix de mon dit vicomte de;Brassard;et m'étonna si fort, que je voulus avoir le coeur
01 - Le Rideau cramoisi;elle- même. Pourquoi pâlissait -il ?...;Cette;fenêtre, d'un aspect si particulier, cette réflexion et cette
01 - Le Rideau cramoisi;savoir en m'y prenant bien. --;Vous;regardiez donc aussi cette fenêtre, capitaine, et même vous la
01 - Le Rideau cramoisi;ne croient pas, comme ce niais de;Goethe;, que l'étonnement puisse jamais être une position honorable pour l'
01 - Le Rideau cramoisi;donc, très tranquillement, le vicomte de;Brassard;, -- et même j'évite d'y passer. Mais il
01 - Le Rideau cramoisi;pour vous, -- reprit le vicomte de;Brassard;, -- mais je sais ce qu'elle a pour moi.
01 - Le Rideau cramoisi;je tenais à la faire sortir. --;Quand;vous étudiiez votre tactique, capitaine, dans vos premières veilles de
01 - Le Rideau cramoisi;dans vos premières veilles de sous-lieutenant ? --;Vous;me faites beaucoup trop d'honneur, répondit -il. J'étais
01 - Le Rideau cramoisi;n'était pas pour lire le maréchal de;Saxe;. -- Mais, -- fis -je, preste comme un coup
01 - Le Rideau cramoisi;pour lire le maréchal de Saxe. --;Mais;, -- fis -je, preste comme un coup de raquette,
01 - Le Rideau cramoisi;? Il me renvoya mon volant. --;Oh;! -- dit -il, -- ce n'était pas alors que
01 - Le Rideau cramoisi;pas alors que j'imitais le maréchal de;Saxe;, comme vous l'entendez... Ça n'a été que bien
01 - Le Rideau cramoisi;de douze ans, comme les sultans d';Asie;ont des odalisques de neuf. « S'il se met à
01 - Le Rideau cramoisi;! -- Et vous gagneriez votre pari,;Monsieur;, -- fit -il gravement. -- Ah ! parbleu ! --
01 - Le Rideau cramoisi;Monsieur, -- fit -il gravement. --;Ah;! parbleu ! -- repris -je, -- j'en étais bien
01 - Le Rideau cramoisi;vit -il dans ce coupé sombre ? --;On;a pris Berg-op-Zoom, -- lui dis -je. -- Et les
01 - Le Rideau cramoisi;ce coupé sombre ? -- On a pris;Berg-op-Zoom;, -- lui dis -je. -- Et les sous-lieutenants de dix-sept
01 - Le Rideau cramoisi;-il, -- ne sont ordinairement pas des;Berg-op-Zoom;de sagesse et de continence imprenables ! --Ainsi, -- fis -je
01 - Le Rideau cramoisi;, -- encore une madame ou une mademoiselle;Putiphar;... -- C'était une demoiselle, -- interrompit -il avec une
01 - Le Rideau cramoisi;une madame ou une mademoiselle Putiphar... --;C';était une demoiselle, -- interrompit -il avec une bonhomie assez comique
01 - Le Rideau cramoisi;, capitaine ! Seulement, ici, le;Joseph;était militaire... un Joseph qui n'aura pas fui... --
01 - Le Rideau cramoisi;ici, le Joseph était militaire... un;Joseph;qui n'aura pas fui... -- Qui a parfaitement fui,
01 - Le Rideau cramoisi;Joseph qui n'aura pas fui... --;Qui;a parfaitement fui, au contraire, -- repartit -il, du
01 - Le Rideau cramoisi;à me faire comprendre la phrase du maréchal;Ney;que j'ai entendue de mes deux oreilles et qui, venant
01 - Le Rideau cramoisi;« Je voudrais bien savoir quel est le;Jean-f;... (il lâcha le mot tout au long) qui dit
01 - Le Rideau cramoisi;doit être fameusement intéressante, capitaine ! --;Pardieu;! -- fit -il brusquement, -- je puis bien, si
01 - Le Rideau cramoisi;-là, l'ordre de partir pour l';Allemagne;, où l'Empereur faisait cette campagne que l'histoire a nommée
01 - Le Rideau cramoisi;que mon uniforme, -- un chef-d'oeuvre de;Thomassin;et Pied, qui me ravissait ! Cet uniforme, dont j'
01 - Le Rideau cramoisi;uniforme, -- un chef-d'oeuvre de Thomassin et;Pied;, qui me ravissait ! Cet uniforme, dont j'étais fou
01 - Le Rideau cramoisi;brillant au soleil, dans quelque coin de;Cours;désert où, vers quatre heures, j'avais l'habitude de
01 - Le Rideau cramoisi;que, plus tard, au boulevard de;Gand;, lorsque j'entendais dire derrière moi, en donnant le bras
01 - Le Rideau cramoisi;, le dimanche, un pauvre bout de;Cours;où, après la messe de midi, quand il faisait beau
01 - Le Rideau cramoisi;à deux heures, -- l'heure des;Vêpres;, qui, dès qu'elle sonnait son premier coup, raflait
01 - Le Rideau cramoisi;raflait toutes les jupes et vidait ce malheureux;Cours;. Cette messe de midi où nous n'allions jamais, du
01 - Le Rideau cramoisi;"faisait cadran avec son inscription : "" AU";SOLEIL;"LEVANT ! "" -- Un de mes camarades m'avait découvert un"
01 - Le Rideau cramoisi;"cadran avec son inscription : "" AU SOLEIL";LEVANT;"! "" -- Un de mes camarades m'avait découvert un appartement"
01 - Le Rideau cramoisi;impériale chez mon ami d'en face :;Louis;de Meung, lequel était moins oisif que moi, car il
01 - Le Rideau cramoisi;mon ami d'en face : Louis de;Meung;, lequel était moins oisif que moi, car il avait ramassé
01 - Le Rideau cramoisi;me poussait pas beaucoup à imiter mon ami;Louis;. Ce que j'en savais, je l'avais vulgairement appris
01 - Le Rideau cramoisi;vulgairement appris, là où les élèves de;Saint-Cyr;l'apprennent les jours de sortie... Et puis, il y
01 - Le Rideau cramoisi;Est -ce que vous n'avez pas connu;Saint-Rémy;, le plus mauvais sujet de toute une ville, célèbre par
01 - Le Rideau cramoisi;"mauvais sujets, que nous appelions "" le";Minotaure;""", non pas au point de vue des cornes, quoiqu'"
01 - Le Rideau cramoisi;l'ai connu, ce grand rompu de;Saint-Rémy;, comme on dit dans Brantôme ! -- C'était en effet
01 - Le Rideau cramoisi;rompu de Saint-Rémy, comme on dit dans;Brantôme;! -- C'était en effet un homme de Brantôme, --
01 - Le Rideau cramoisi;, comme on dit dans Brantôme ! --;C';était en effet un homme de Brantôme, -- reprit le vicomte
01 - Le Rideau cramoisi;-- C'était en effet un homme de;Brantôme;, -- reprit le vicomte. -- Eh bien ! Saint-Rémy,
01 - Le Rideau cramoisi;du lait et de l'eau. --;Il;a joliment rattrapé le temps perdu ! -- fis -je. --
01 - Le Rideau cramoisi;y eusse pas la virginité absolue dont parle;Saint-;Rémy, j'y vivais cependant, ma foi ! comme un
01 - Le Rideau cramoisi;eusse pas la virginité absolue dont parle Saint-;Rémy;, j'y vivais cependant, ma foi ! comme un vrai
01 - Le Rideau cramoisi;ma foi ! comme un vrai chevalier de;Malte;, que j'étais, attendu que je le suis de berceau
01 - Le Rideau cramoisi;attendu que je le suis de berceau...;Saviez-;vous cela ? J'aurais même succédé à un de mes oncles
01 - Le Rideau cramoisi;commanderie, sans la Révolution qui abolit l';Ordre;, dont, tout aboli qu'il fût, je me suis
01 - Le Rideau cramoisi;leur appartement, -- continua le vicomte de;Brassard;, -- c'était bien tout ce que vous pouvez imaginer de
01 - Le Rideau cramoisi;sur son violon de l'ancienne musique de;Viotti;, dans une chambre à galetas au-dessus de la mienne... Plus
01 - Le Rideau cramoisi;que j'avais, comme disait la vieille;Olive;"qui nous servait, "" les barbes torchées "", ce qui"
01 - Le Rideau cramoisi;, auxquels ses cheveux, coupés à la;Titus;et ramassés en boucles sur le front, donnaient l'espèce de
01 - Le Rideau cramoisi;... L'Infante à l'épagneul, de;Velasquez;, pourrait, si vous la connaissez, vous donner une idée
01 - Le Rideau cramoisi;que cet air -ci dit tranquillement : «;Pour;moi, vous n'existez même pas. » J'avoue que
01 - Le Rideau cramoisi;, vous n'existez même pas. »;J';avoue que cette physionomie me fit faire, ce premier jour et
01 - Le Rideau cramoisi;paraissait tout aussi impossible à expliquer. Mlle;Albertine;(c'était le nom de cette archiduchesse d'altitude, tombée
01 - Le Rideau cramoisi;voulu se moquer d'eux), Mlle;Albertine;, que ses parents appelaient Alberte pour s'épargner la longueur du
01 - Le Rideau cramoisi;pluie et le beau temps. Aussi Mlle;Albertine;ou Alberte, qui m'avait tant frappé d'abord par son
01 - Le Rideau cramoisi;le beau temps. Aussi Mlle Albertine ou;Alberte;, qui m'avait tant frappé d'abord par son air impassible
01 - Le Rideau cramoisi;fille, à l'air si déplacé d';Infante;... Pour cela, il fallait la circonstance que je m'en
01 - Le Rideau cramoisi;. Utopiquement du moins, j'étais le;Lovelace;de fatuité que sont plus ou moins tous les très jeunes gens
01 - Le Rideau cramoisi;. Mais ceci déconcertait mon petit aplomb de;Lovelace;de dix-sept ans. Ceci me paraissait plus fort que ce que
01 - Le Rideau cramoisi;ans ! Les avait -elle même ?...;Elle;sortait d'une pension que je n'avais aucune raison pour suspecter
01 - Le Rideau cramoisi;c'était, je le voulais !...;Quand;je me levai de table, j'étais résolu... La main
01 - Le Rideau cramoisi;la veille, par-dessous la table. Mlle;Alberte;sentit mon billet et le prit très bien, comme je l'
01 - Le Rideau cramoisi;pas de ce qui allait suivre ! --;Tenez;! pas plus tard que quelques jours, il y avait à
01 - Le Rideau cramoisi;quelques jours, il y avait à l';Opéra;, dans une loge à côté de la mienne, une femme
01 - Le Rideau cramoisi;femme probablement dans le genre de votre demoiselle;Alberte;". Elle avait plus de dix-huit ans, par exemple ; mais"
01 - Le Rideau cramoisi;conjugalement impérieuse et la plus claire : «;Henri;!, ramassez mon capuchon ! » et alors, par-dessus le
01 - Le Rideau cramoisi;» et alors, par-dessus le dos de;Henri;, qui s'est précipité la tête en bas, elle a
01 - Le Rideau cramoisi;coup, venait d'y pousser ! --;Votre;histoire est bonne, -- dit le vicomte de Brassard assez froidement
01 - Le Rideau cramoisi;est bonne, -- dit le vicomte de;Brassard;"assez froidement ; -- dans un autre moment ; peut-être en aurait"
01 - Le Rideau cramoisi;fût pas même de l'amour !...;C';était à se demander si vraiment c'était bien la femme de
01 - Le Rideau cramoisi;et qui ne s'alluma pas ! «;Elle;aura trouvé quelque moyen de me répondre », me disais -je
01 - Le Rideau cramoisi;, je ne fus placé auprès de Mlle;Alberte;, qui continua d'avoir la même incompréhensible physionomie et le même
01 - Le Rideau cramoisi;, puis après, tout stupidité ! «;Si;on savait le moment ! » disait Ninon. Le moment de
01 - Le Rideau cramoisi;Si on savait le moment ! » disait;Ninon;. Le moment de Ninon était -il déjà passé ? Cependant,
01 - Le Rideau cramoisi;! » disait Ninon. Le moment de;Ninon;était -il déjà passé ? Cependant, j'attendais toujours... quoi
01 - Le Rideau cramoisi;#NOME?;Olive;, d'une voix étranglée : « Y a-t -il des lettres
01 - Le Rideau cramoisi;Y a-t -il des lettres pour moi,;Olive;? » laquelle me répondait imperturbablement toujours : « Non, Monsieur
01 - Le Rideau cramoisi;» laquelle me répondait imperturbablement toujours : «;Non;, Monsieur, il n'y en a pas. » Ah
01 - Le Rideau cramoisi;me répondait imperturbablement toujours : « Non,;Monsieur;, il n'y en a pas. » Ah ! l'
01 - Le Rideau cramoisi;il n'y en a pas. »;Ah;! l'agacement finit par être trop aigu ! Le désir trompé
01 - Le Rideau cramoisi;plus militaires, quand j'en parlais à;Louis;de Meung, car je lui en parlais ! car l'outrance
01 - Le Rideau cramoisi;, quand j'en parlais à Louis de;Meung;, car je lui en parlais ! car l'outrance où elle
01 - Le Rideau cramoisi;avais raconté toute mon aventure à mon brave;Louis;, qui s'était tirebouchonné sa longue moustache blonde en m'écoutant
01 - Le Rideau cramoisi;pas des moralistes dans le 27e : --;Fais;comme moi ! Un clou chasse l'autre. Prends pour maîtresse
01 - Le Rideau cramoisi;Mais je ne suivis point le conseil de;Louis;. Pour cela, j'étais trop piqué au jeu. Si
01 - Le Rideau cramoisi;fait, une maîtresse chez moi, comme;Louis;, à son hôtel de la Poste, c'était rompre avec
01 - Le Rideau cramoisi;comme Louis, à son hôtel de la;Poste;, c'était rompre avec les bonnes gens chez qui j'habitais
01 - Le Rideau cramoisi;la main ou le pied de cette damnante;Alberte;qui après ce qu'elle avait osé, restait toujours la grande
01 - Le Rideau cramoisi;avait osé, restait toujours la grande Mademoiselle;Impassible;. -- Dis plutôt impossible ! » -- disait Louis, qui
01 - Le Rideau cramoisi;-- Dis plutôt impossible ! » -- disait;Louis;, qui se moquait de moi. « Un mois tout entier
01 - Le Rideau cramoisi;pouvoir la rencontrer, et où la vieille;Olive;me surprit un jour, à ma grande confusion, en sentinelle
01 - Le Rideau cramoisi;temps -là. Je n'allais plus chez;Louis;de Meung. Je ne touchais plus à mes fleurets. Je
01 - Le Rideau cramoisi;. Je n'allais plus chez Louis de;Meung;. Je ne touchais plus à mes fleurets. Je n'avais
01 - Le Rideau cramoisi;temps -là, -- une chambre de l';Empire;, parquetée en point de Hongrie, sans tapis, où le
01 - Le Rideau cramoisi;de l'Empire, parquetée en point de;Hongrie;, sans tapis, où le bronze plaquait partout le merisier,
01 - Le Rideau cramoisi;y avait des encoignures en faux laque de;Chine;, et sur l'une d'elles on voyait, mystérieux et
01 - Le Rideau cramoisi;noir du coin, un vieux buste de;Niobé;d'après l'antique, qui étonnait là, chez ces bourgeois
01 - Le Rideau cramoisi;vulgaires. Mais est -ce que cette incompréhensible;Alberte;n'étonnait pas bien plus ? Les murs lambrissés, et peints
01 - Le Rideau cramoisi;appartement, -- comme disait élégamment le lieutenant;Louis;de Meung, qui ne poétisait pas les choses, -- j'
01 - Le Rideau cramoisi;-- comme disait élégamment le lieutenant Louis de;Meung;, qui ne poétisait pas les choses, -- j'avais fait
01 - Le Rideau cramoisi;car c'était la tête de cette énigmatique;Alberte;que je dessinais, c'était le visage de cette diablesse de
01 - Le Rideau cramoisi;empêcher cette porte maudite de crier ! «;Ah;! tonnerre de Dieu ! ils parlent de visions, ceux qui
01 - Le Rideau cramoisi;, -- de cette porte ouverte, --;Alberte;, effrayée au bruit que cette porte venait de faire en s'
01 - Le Rideau cramoisi;, -- dis -je au capitaine. --;Vous;croyez peut-être, -- reprit -il, comme s'il n'avait
01 - Le Rideau cramoisi;deux autres aussi en elles, -- la;Lâcheté;et la Honte, -- pour contrarier celui -là ! Eh bien
01 - Le Rideau cramoisi;en elles, -- la Lâcheté et la;Honte;, -- pour contrarier celui -là ! Eh bien, non,
01 - Le Rideau cramoisi;"jamais vue pâle ; mais ses traits de";Princesse;n'avaient pas bougé. Ils avaient toujours l'immobilité et la
01 - Le Rideau cramoisi;maroquin bleu, -- mon gril de saint;Laurent;, depuis un mois que je m'y roulais en pensant à
01 - Le Rideau cramoisi;et qui eût pu les réveiller. --;Ah;! -- fis -je, -- on n'est pas plus brave
01 - Le Rideau cramoisi;pâles et indignées, ces deux têtes de;Méduse;, ces deux vieillards, que nous trompions avec une lâcheté si
01 - Le Rideau cramoisi;qui m'avaient sonné la diane de l';Amour;, me faisaient tressaillir d'épouvante... Mon coeur battait contre le
01 - Le Rideau cramoisi;a d'autres qui vous disent : «;Tu;"vas bien me mépriser » ; et ce sont là des manières"
01 - Le Rideau cramoisi;multipliait autour de moi, dans cet appartement;Empire;. -- Mais, capitaine, interrompis -je encore, -- il
01 - Le Rideau cramoisi;moi, dans cet appartement Empire. --;Mais;, capitaine, interrompis -je encore, -- il y eut pourtant
01 - Le Rideau cramoisi;une fin, -- fit le vicomte de;Brassard;en baissant brusquement la vitre du coupé, comme si la respiration
01 - Le Rideau cramoisi;réussir, ferait encore des conspirateurs incorrigibles.;Alberte;, à la table de ses parents comme partout, était toujours
01 - Le Rideau cramoisi;! Personne, pas même mon ami,;Louis;de Meung, avec lequel j'étais discret depuis que j'étais
01 - Le Rideau cramoisi;, pas même mon ami, Louis de;Meung;, avec lequel j'étais discret depuis que j'étais heureux !
01 - Le Rideau cramoisi;habitudes d'intimité, les promenades sur le;Cours;, en grande ou en petite tenue, l'impériale, l'
01 - Le Rideau cramoisi;pour se faire un peu respecter. --;Vous;croyez donc que je cherche des effets de conteur hors de la
01 - Le Rideau cramoisi;ne suis pas romancier, moi ! Quelquefois;Alberte;ne venait pas. La porte, dont les gonds huilés étaient
01 - Le Rideau cramoisi;ou tâtonnant à travers la chambre. Seulement;Alberte;, avec sa tête d'acier, trouvait à chaque fois un
01 - Le Rideau cramoisi;-je encore. J'étais contrariant. --;Votre;Alberte, après tout, n'était pas plus forte que la
01 - Le Rideau cramoisi;encore. J'étais contrariant. -- Votre;Alberte;, après tout, n'était pas plus forte que la jeune
01 - Le Rideau cramoisi;cria de dessous ses rideaux un : «;Qu';as -tu donc, petite ? » à la faire évanouir contre
01 - Le Rideau cramoisi;répondit pas moins de sa place : «;C';est mon buse qui me gêne, grand-maman, pour chercher mon
01 - Le Rideau cramoisi;connais l'histoire, reprit le vicomte de;Brassard;, que j'avais cru humilier, par une comparaison, dans
01 - Le Rideau cramoisi;dans la personne de son Alberte. --;C';était, si je m'en souviens bien, une de Guise
01 - Le Rideau cramoisi;je m'en souviens bien, une de;Guise;que la jeune fille dont vous me parlez. Elle s'en
01 - Le Rideau cramoisi;qui était, je crois, monsieur de;Noirmoutier;, tandis qu'Alberte revenait le lendemain de ces accrocs terribles,
01 - Le Rideau cramoisi;crois, monsieur de Noirmoutier, tandis qu';Alberte;revenait le lendemain de ces accrocs terribles, et s'exposait de
01 - Le Rideau cramoisi;... il y aurait un dénoûment... --;Ah;, oui ! -- fis -je, me rappelant ses paroles d'
01 - Le Rideau cramoisi;sensation de la peur, capitaine. --;Précisément;, -- répondit -il d'un ton plus grave et qui tranchait
01 - Le Rideau cramoisi;le ton léger que j'affectais. --;Vous;l'avez vu, n'est -ce pas ? depuis ma main
01 - Le Rideau cramoisi;la vraie peur, et non plus pour;Alberte;, mais pour moi, et pour moi tout seul ! Ce
01 - Le Rideau cramoisi;vous parle, j'ai vu fuir tout;Chamboran;, bride abattue et ventre à terre, l'héroïque Chamboran,
01 - Le Rideau cramoisi;abattue et ventre à terre, l'héroïque;Chamboran;, emportant, dans son flot épouvanté, son colonel et ses
01 - Le Rideau cramoisi;, comme le pont de l'enfer des;Turcs;! Alberte était venue plus tôt qu'à l'ordinaire, pour
01 - Le Rideau cramoisi;le pont de l'enfer des Turcs !;Alberte;était venue plus tôt qu'à l'ordinaire, pour être plus
01 - Le Rideau cramoisi;y mettre, comme une rosette ponceau...;Alberte;, cette nuit -là, était plus silencieusement amoureuse que jamais.
01 - Le Rideau cramoisi;J'avais l'expérience des spasmes voluptueux d';Alberte;, et quand ils la prenaient, ils n'interrompaient pas mes
01 - Le Rideau cramoisi;se desserrèrent... Le froid des pieds d';Alberte;était monté jusque dans ses lèvres et sous les miennes... Quand
01 - Le Rideau cramoisi;même de l'évidence et du destin.;Alberte;était morte. De quoi ?... Je ne savais. Je
01 - Le Rideau cramoisi;, et j'en labourai le bras d';Alberte;à la saignée. Je massacrai ce bras splendide d'où le
